ID_kod,PKWiU,CN
331,01.41.2,
332,01.41.20,
333,01.41.20.0,
334,01.42,
335,01.42.1,
336,01.42.11,
337,01.42.11.0,
338,01.42.12,
339,01.42.12.0,
340,01.42.2,
341,01.42.20,
342,01.42.20.0,
343,01.43,
344,01.43.1,
345,01.43.11,
346,01.43.11.0,
347,01.43.12,
348,01.43.12.0,
349,01.44,
350,01.44.1,
351,01.44.10,
352,01.44.10.0,
353,01.45,
354,01.45.1,
355,01.45.11,
356,01.45.11.0,
357,01.45.12,
358,01.45.12.0,
359,01.45.2,
360,01.45.21,
361,01.45.21.0,
362,01.45.22,
363,01.45.22.0,
364,01.45.3,
365,01.45.30,
366,01.45.30.0,
367,01.46,
368,01.46.1,
369,01.46.10,
370,01.46.10.0,
371,01.47,
372,01.47.1,
373,01.47.11,
374,01.47.11.0,
375,01.47.12,
376,01.47.12.0,
377,01.47.13,
378,01.47.13.0,
379,01.47.14,
380,01.47.14.0,
381,01.47.2,
382,01.47.21,
383,01.47.21.0,
384,01.47.22,
385,01.47.22.0,
386,01.47.23,
387,01.47.23.0,
388,01.47.24,
389,01.47.24.0,
390,01.49,
391,01.49.1,
392,01.49.11,
393,01.49.11.0,
394,01.49.12,
395,01.49.12.1,
396,01.49.12.9,
397,01.49.13,
398,01.49.13.0,
399,01.49.19,
400,01.49.19.0,
401,01.49.2,
402,01.49.21,
403,01.49.21.0,
404,01.49.22,
405,01.49.22.0,
406,01.49.23,
407,01.49.23.0,
408,01.49.24,
409,01.49.24.0,
410,01.49.25,
411,01.49.25.0,
412,01.49.26,
413,01.49.26.0,
414,01.49.27,
415,01.49.27.0,
416,01.49.28,
417,01.49.28.0,
418,01.49.3,
419,01.49.31,
420,01.49.31.0,
421,01.49.32,
422,01.49.32.0,
423,01.49.39,
424,01.49.39.0,
425,01.6,
426,01.61,
427,01.61.1,
428,01.61.10,
429,01.61.10.0,
430,01.62,
431,01.62.1,
432,01.62.10,
433,01.62.10.0,
434,01.63,
435,01.63.1,
436,01.63.10,
437,01.63.10.0,
438,01.64,
439,01.64.1,
440,01.64.10,
441,01.64.10.0,
442,01.7,
443,01.70,
444,01.70.1,
445,01.70.10,
446,01.70.10.0,
447,02,
448,02.1,
449,02.10,
450,02.10.1,
451,02.10.11,
452,02.10.11.0,
453,02.10.12,
454,02.10.12.0,
455,02.10.2,
456,02.10.20,
457,02.10.20.0,
458,02.10.3,
459,02.10.30,
460,02.10.30.0,
461,02.2,
462,02.20,
463,02.20.1,
464,02.20.11,
465,02.20.11.0,
466,02.20.12,
467,02.20.12.0,
468,02.20.13,
469,02.20.13.0,
470,02.20.14,
471,02.20.14.0,
472,02.20.15,
473,02.20.15.0,
474,02.3,
475,02.30,
476,02.30.1,
477,02.30.11,
478,02.30.11.0,
479,02.30.12,
480,02.30.12.0,
481,02.30.2,
482,02.30.20,
483,02.30.20.0,
484,02.30.3,
485,02.30.30,
486,02.30.30.0,
487,02.30.4,
488,02.30.40,
489,02.30.40.0,
490,02.4,
491,02.40,
492,02.40.1,
493,02.40.10,
494,02.40.10.1,
495,02.40.10.2,
496,02.40.10.3,
497,02.40.10.4,
498,02.40.10.5,
499,03,
500,03.0,
501,03.00,
502,03.00.1,
503,03.00.11,
504,03.00.11.0,
505,03.00.12,
506,03.00.12.0,
507,03.00.13,
508,03.00.13.0,
509,03.00.14,
510,03.00.14.0,
511,03.00.2,
512,03.00.21,
513,03.00.21.0,
514,03.00.22,
515,03.00.22.0,
516,03.00.23,
517,03.00.23.0,
518,03.00.24,
519,03.00.24.0,
520,03.00.3,
521,03.00.31,
