ID_kod,kod_pkwiu,Nazwa,numer_poziomu
1063,10.62.99.0,"USŁUGI PODWYKONAWCÓW ZWIĄZANE Z PRODUKCJĄ SKROBI I WYROBÓW SKROBIOWYCH",7
1064,10.7,"WYROBY PIEKARNICZE I MĄCZNE",3
1065,10.71,"PIECZYWO; ŚWIEŻE WYROBY CIASTKARSKIE",4
1066,10.71.1,"PIECZYWO; ŚWIEŻE WYROBY CIASTKARSKIE",5
1067,10.71.11,"Pieczywo świeże",6
1068,10.71.11.0,"Pieczywo świeże zawierające < 5% masy cukru lub tłuszczu lub bez dodatku miodu, jajek, sera lub owoców",7
1069,10.71.12,"Pozostałe świeże wyroby piekarnicze",6
1070,10.71.12.1,"Pozostałe pieczywo świeże",7
1071,10.71.12.9,"Pozostałe świeże wyroby piekarnicze, gdzie indziej niesklasyfikowane",7
1072,10.71.9,"USŁUGI PODWYKONAWCÓW ZWIĄZANE Z PRODUKCJĄ ŚWIEŻEGO LUB MROŻONEGO PIECZYWA, CIASTA I CIASTEK",5
1073,10.71.99,"USŁUGI PODWYKONAWCÓW ZWIĄZANE Z PRODUKCJĄ ŚWIEŻEGO LUB MROŻONEGO PIECZYWA, CIASTA I CIASTEK",6
1074,10.71.99.0,"USŁUGI PODWYKONAWCÓW ZWIĄZANE Z PRODUKCJĄ ŚWIEŻEGO LUB MROŻONEGO PIECZYWA, CIASTA I CIASTEK",7
1075,10.72,"SUCHARY I HERBATNIKI; KONSERWOWANE WYROBY PIEKARNICZE",4
1076,10.72.1,"SUCHARY I HERBATNIKI; KONSERWOWANE WYROBY PIEKARNICZE",5
1077,10.72.11,"Pieczywo chrupkie, suchary, sucharki, pieczywo tostowe i podobne wyroby",6
1078,10.72.11.0,"Pieczywo chrupkie, suchary, sucharki, pieczywo tostowe i podobne wyroby",7
1079,10.72.12,"Piernik i podobne wyroby; słodkie herbatniki; gofry i wafle",6
1080,10.72.12.0,"Piernik i podobne wyroby; słodkie herbatniki; gofry i wafle",7
1081,10.72.19,"Pozostałe suche lub konserwowane wyroby piekarnicze",6
1082,10.72.19.0,"Pozostałe suche lub konserwowane wyroby piekarnicze",7
1083,10.72.9,"USŁUGI PODWYKONAWCÓW ZWIĄZANE Z PRODUKCJĄ SUCHARÓW LUB HERBATNIKÓW ORAZ SUCHYCH LUB KONSERWOWANYCH WYROBÓW PIEKARNICZYCH",5
1084,10.72.99,"USŁUGI PODWYKONAWCÓW ZWIĄZANE Z PRODUKCJĄ SUCHARÓW LUB HERBATNIKÓW ORAZ SUCHYCH LUB KONSERWOWANYCH WYROBÓW PIEKARNICZYCH",6
1085,10.72.99.0,"Usługi podwykonawców związane z produkcją sucharów i herbatników oraz suchych lub konserwowanych wyrobów piekarniczych",7
1086,10.73,"MAKARONY, KLUSKI, KUSKUS I PODOBNE WYROBY MĄCZNE",4
1087,10.73.1,"MAKARONY, KLUSKI, KUSKUS I PODOBNE WYROBY MĄCZNE",5
1088,10.73.11,"Makarony, kluski i podobne wyroby mączne",6
1089,10.73.11.0,"Makarony, kluski i podobne wyroby mączne",7
1090,10.73.12,Kuskus,6
1091,10.73.12.0,Kuskus,7
1092,10.73.9,"Usługi podwykonawców związane z produkcją makaronów, klusek, kuskusu i podobnych wyrobów mącznych",5
1093,10.73.99,"Usługi podwykonawców związane z produkcją makaronów, klusek, kuskusu i podobnych wyrobów mącznych",6
1094,10.73.99.0,"Usługi podwykonawców związane z produkcją makaronów, klusek, kuskusu i podobnych wyrobów mącznych",7
1095,10.8,"POZOSTAŁE ARTYKUŁY SPOŻYWCZE",3
1096,10.81,CUKIER,4
1097,10.81.1,"CUKIER TRZCINOWY LUB BURACZANY, SUROWY LUB RAFINOWANY; MELASA",5
1098,10.81.11,"Cukier trzcinowy lub buraczany surowy, w postaci stałej",6
1099,10.81.11.0,"Cukier trzcinowy lub buraczany surowy, w postaci stałej",7
1100,10.81.12,"Cukier trzcinowy lub buraczany rafinowany oraz chemicznie czysta sacharoza, w postaci stałej, z wyłączeniem zawierającego dodatki substancji aromatyzujących lub barwiących",6
1101,10.81.12.0,"Cukier trzcinowy lub buraczany rafinowany oraz chemicznie czysta sacharoza, w postaci stałej, z wyłączeniem zawierającego dodatki substancji aromatyzujących lub barwiących",7
1102,10.81.13,"Cukier trzcinowy lub buraczany rafinowany, zawierający dodatek środków aromatyzujących lub barwiących; cukier klonowy i syrop klonowy",6
1103,10.81.13.0,"Cukier trzcinowy lub buraczany rafinowany, zawierający dodatek środków aromatyzujących lub barwiących; cukier klonowy i syrop klonowy",7
1104,10.81.14,Melasa,6
1105,10.81.14.0,Melasa,7
1106,10.81.2,"Wysłodki buraczane, wytłoki z trzciny cukrowej i pozostałe odpady z produkcji cukru",5
1107,10.81.20,"Wysłodki buraczane, wytłoki z trzciny cukrowej i pozostałe odpady z produkcji cukru",6
1108,10.81.20.0,"Wysłodki buraczane, wytłoki z trzciny cukrowej i pozostałe odpady z produkcji cukru",7
1109,10.81.9,"Usługi podwykonawców związane z produkcją cukru",5
1110,10.81.99,"Usługi podwykonawców związane z produkcją cukru",6
1111,10.81.99.0,"Usługi podwykonawców związane z produkcją cukru",7
1112,10.82,"KAKAO, CZEKOLADA I POZOSTAŁE WYROBY CUKIERNICZE",4
1113,10.82.1,"MIAZGA KAKAOWA, NAWET ODTŁUSZCZONA; MASŁO, TŁUSZCZ I OLEJ KAKAOWE; PROSZEK KAKAOWY",5
1114,10.82.11,"Miazga kakaowa, nawet odtłuszczona",6
1115,10.82.11.0,"Miazga kakaowa, nawet odtłuszczona",7
1116,10.82.12,"Masło, tłuszcz i olej kakaowe",6
1117,10.82.12.0,"Masło, tłuszcz i olej kakaowe",7
1118,10.82.13,"Proszek kakaowy niesłodzony",6
1119,10.82.13.0,"Proszek kakaowy niesłodzony",7
1120,10.82.14,"Proszek kakaowy słodzony",6
1121,10.82.14.0,"Proszek kakaowy słodzony",7
1122,10.82.2,"CZEKOLADA I POZOSTAŁE WYROBY CUKIERNICZE",5
1123,10.82.21,"Czekolada i przetwory spożywcze zawierające kakao (z wyłączeniem słodzonego proszku kakaowego), niepakowane do sprzedaży detalicznej",6
1124,10.82.21.0,"Czekolada i pozostałe przetwory spożywcze zawierające kakao (z wyłączeniem słodzonego proszku kakaowego), niepakowane do sprzedaży detalicznej",7
1125,10.82.22,"Czekolada i przetwory spożywcze zawierające kakao (z wyłączeniem słodzonego proszku kakaowego), pakowane do sprzedaży detalicznej",6
1126,10.82.22.0,"Czekolada i pozostałe przetwory spożywcze zawierające kakao (z wyłączeniem słodzonego proszku kakaowego), pakowane do sprzedaży detalicznej",7
1127,10.82.23,"Wyroby cukiernicze (włączając białą czekoladę), z wyłączeniem zawierających kakao",6
1128,10.82.23.0,"Wyroby cukiernicze (włączając białą czekoladę), z wyłączeniem zawierających kakao",7
1129,10.82.24,"Owoce, orzechy, skórki z owoców i pozostałe części roślin, zakonserwowane cukrem",6
1130,10.82.24.0,"Owoce, orzechy, skórki z owoców i pozostałe części roślin, zakonserwowane cukrem",7
1131,10.82.3,"Łuski kakao, łupiny, osłonki i pozostałe odpady kakao",5
1132,10.82.30,"Łuski kakao, łupiny, osłonki i pozostałe odpady kakao",6
1133,10.82.30.0,"Łuski kakao, łupiny, osłonki i pozostałe odpady kakao",7
1134,10.82.9,"Usługi podwykonawców związane z produkcją kakao, czekolady i wyrobów cukierniczych",5
1135,10.82.99,"Usługi podwykonawców związane z produkcją kakao, czekolady i wyrobów cukierniczych",6
1136,10.82.99.0,"Usługi podwykonawców związane z produkcją kakao, czekolady i pozostałych wyrobów cukierniczych",7
1137,10.83,"KAWA I HERBATA PRZETWORZONE",4
1138,10.83.1,"KAWA I HERBATA PRZETWORZONE",5
1139,10.83.11,"Kawa palona i kawa bezkofeinowa",6
1140,10.83.11.0,"Kawa palona i kawa bezkofeinowa",7
1141,10.83.12,"Substytuty kawy; ekstrakty, esencje i koncentraty z kawy lub substytutów kawy; łupiny i łuski kawy",6
1142,10.83.12.0,"Substytuty kawy; ekstrakty, esencje i koncentraty z kawy lub substytutów kawy; łupiny i łuski kawy",7
1143,10.83.13,"Herbata zielona (niefermentowana), herbata czarna (fermentowana) oraz herbata częściowo fermentowana, w bezpośrednich opakowaniach o zawartości <= 3 kg",6
1144,10.83.13.0,"Herbata zielona (niefermentowana), herbata czarna (fermentowana) oraz herbata częściowo fermentowana, w bezpośrednich opakowaniach o zawartości <= 3 kg",7
1145,10.83.14,"Ekstrakty, esencje, koncentraty i preparaty z herbaty lub maté (herbaty paragwajskiej)",6
1146,10.83.14.0,"Ekstrakty, esencje, koncentraty i preparaty z herbaty lub maté (herbaty paragwajskiej)",7
1147,10.83.15,"Napary (herbatki) ziołowe",6
1148,10.83.15.0,"Napary (herbatki) ziołowe",7
1149,10.83.9,"Usługi podwykonawców związane z produkcją kawy i herbaty",5
1150,10.83.99,"Usługi podwykonawców związane z produkcją kawy i herbaty",6
1151,10.83.99.0,"Usługi podwykonawców związane z produkcją kawy i herbaty",7
1152,10.84,PRZYPRAWY,4
1153,10.84.1,"OCET; SOSY; MIESZANKI PRZYPRAW; MĄKA I MĄCZKA Z GORCZYCY; GOTOWA MUSZTARDA",5
1154,10.84.11,"Ocet oraz substytuty octu otrzymywane z kwasu octowego",6
1155,10.84.11.0,"Ocet oraz substytuty octu otrzymywane z kwasu octowego",7
1156,10.84.12,"Sosy; mieszanki przypraw; mąka i mączka z gorczycy oraz gotowa musztarda",6
1157,10.84.12.0,"Sosy; mieszanki przypraw; mąka i mączka z gorczycy oraz gotowa musztarda",7
1158,10.84.2,"PRZYPRAWY PRZETWORZONE",5
1159,10.84.21,"Pieprz z rodzaju Piper przetworzony",6
1160,10.84.21.0,"Pieprz z rodzaju Piper przetworzony",7
1161,10.84.22,"Chili i słodka papryka z rodzaju Capsicum przetworzone, suszone",6
1162,10.84.22.0,"Chili i słodka papryka z rodzaju Capsicum przetworzone, suszone",7
1163,10.84.23,"Cynamon przetworzony; pozostałe przyprawy przetworzone",6
1164,10.84.23.0,"Cynamon przetworzony; pozostałe przyprawy przetworzone",7
1165,10.84.3,"Sól spożywcza",5
1166,10.84.30,"Sól spożywcza",6
1167,10.84.30.0,"Sól spożywcza",7
1168,10.84.9,"Usługi podwykonawców związane z produkcją przypraw",5
1169,10.84.99,"Usługi podwykonawców związane z produkcją przypraw",6
1170,10.84.99.0,"Usługi podwykonawców związane z produkcją przypraw",7
1171,10.85,"GOTOWE POSIŁKI I DANIA",4
1172,10.85.1,"GOTOWE POSIŁKI I DANIA",5
1173,10.85.11,"Gotowe posiłki i dania na bazie mięsa, podrobów lub krwi",6
1174,10.85.11.0,"Gotowe posiłki i dania na bazie mięsa, podrobów lub krwi",7
1175,10.85.12,"Gotowe posiłki i dania na bazie ryb, skorupiaków i mięczaków",6
1176,10.85.12.0,"Gotowe posiłki i dania na bazie ryb, skorupiaków i mięczaków",7
1177,10.85.13,"Gotowe posiłki i dania na bazie warzyw",6
1178,10.85.13.0,"Gotowe posiłki i dania na bazie warzyw",7
1179,10.85.14,"Gotowe posiłki i dania na bazie wyrobów mącznych",6
1180,10.85.14.0,"Gotowe posiłki i dania na bazie wyrobów mącznych",7
1181,10.85.19,"Pozostałe gotowe posiłki i dania",6
1182,10.85.19.0,"Pozostałe gotowe posiłki i dania",7
1183,10.85.9,"Usługi podwykonawców związane z produkcją gotowych posiłków i dań",5
1184,10.85.99,"Usługi podwykonawców związane z produkcją gotowych posiłków i dań",6
1185,10.85.99.0,"Usługi podwykonawców związane z produkcją gotowych posiłków i dań",7
1186,10.86,"Przetwory homogenizowane oraz żywność dietetyczna",4
1187,10.86.1,"Przetwory homogenizowane oraz żywność dietetyczna",5
1188,10.86.10,"Przetwory homogenizowane oraz żywność dietetyczna",6
1189,10.86.10.0,"Przetwory homogenizowane oraz żywność dietetyczna",7
1190,10.86.9,"Usługi podwykonawców związane z produkcją przetworów homogenizowanych oraz żywności dietetycznej",5
1191,10.86.99,"Usługi podwykonawców związane z produkcją przetworów homogenizowanych oraz żywności dietetycznej",6
1192,10.86.99.0,"Usługi podwykonawców związane z produkcją przetworów homogenizowanych oraz żywności dietetycznej",7
1193,10.89,"POZOSTAŁE ARTYKUŁY SPOŻYWCZE, GDZIE INDZIEJ NIESKLASYFIKOWANE",4
1194,10.89.1,"ZUPY, JAJA, DROŻDŻE I POZOSTAŁE ARTYKUŁY SPOŻYWCZE; EKSTRAKTY I SOKI Z MIĘSA, RYB I BEZKRĘGOWCÓW WODNYCH",5
1195,10.89.11,"Zupy i buliony oraz przetwory z nich",6
1196,10.89.11.0,"Zupy i buliony oraz przetwory z nich",7
1197,10.89.12,"Jaja ptasie bez skorupek i żółtka jaj, świeże lub zakonserwowane; jaja ptasie w skorupkach, zakonserwowane lub gotowane; albumina jaja",6
1198,10.89.12.0,"Jaja ptasie bez skorupek i żółtka jaj, świeże lub zakonserwowane; jaja ptasie w skorupkach, zakonserwowane lub gotowane; albumina jaja",7
1199,10.89.13,"Drożdże (aktywne lub nieaktywne); pozostałe martwe mikroorganizmy jednokomórkowe; gotowe proszki do pieczenia",6
1200,10.89.13.0,"Drożdże (aktywne lub nieaktywne); pozostałe martwe mikroorganizmy jednokomórkowe; gotowe proszki do pieczenia",7
1201,10.89.14,"Ekstrakty i soki z mięsa, ryb i bezkręgowców wodnych",6
1202,10.89.14.0,"Ekstrakty i soki z mięsa, ryb i bezkręgowców wodnych",7
1203,10.89.15,"Soki i ekstrakty roślinne; substancje pektynowe; środki zagęszczające i żelujące",6
1204,10.89.15.0,"Soki i ekstrakty roślinne; substancje pektynowe; środki zagęszczające i żelujące",7
